,Words
ear,4742
love,3928
beauti,2220
thank,1464
look,1319
wear,1062
great,957
ship,950
qualiti,896
absolut,785
purchas,758
order,741
realli,730
cute,705
super,695
much,695
perfect,689
well,681
time,660
get,627
arriv,617
packag,610
shop,608
seller,607
climber,598
pair,583
compliment,581
like,567
fast,561
definit,528
made,518
im,516
nice,511
pretti,487
et,484
one,477
littl,475
ive,475
tr,473
happi,465
would,458
got,454
gorgeou,440
fit,439
buy,424
recommend,417
de,416
pictur,408
uniqu,408
mani,406
piec,403
exactli,402
day,401
comfort,395
came,384
also,382
receiv,377
back,371
good,371
new,369
je,366
le,358
theyr,356
jewelri,353
item,350
wait,348
bought,347
la,339
expect,336
custom,335
quickli,331
even,328
amaz,324
servic,319
put,312
want,311
deliveri,303
quick,302
design,302
gold,278
work,261
stun,260
wed,259
silver,258
gift,255
boucl,253
cant,248
first,247
make,246
delic,246
dont,239
person,237
ador,228
worth,225
easi,223
size,223
simpl,221
un,218
took,216
dainti,213
